'umra	umrah
-	ada
-'s	dari
-ability	-abilitas | -itas
-able	-abel
-al	-al
-ane	-ana
-arch	-ark
-archy	-arki
-ase	-ase
-ation	-asi | -sasi | -si
-centric	-sentris
-centrism	-sentrisme
-cide	pembunuh
-cracy	-krasi
-cratic	-kratik | -kratis
-drome	-drom
-ectomy	-ektomi
-ed	ber-
-ence	-ensi
-ene	-ena
-er	pe | pem- | peng-
-est	paling | ter-
-graph	-graf
-graphic	-grafis
-graphy	-grafi
-ic	-ik | -is
-ics	-logi
-ification	-fikasi | -ifikasi
-ify	buat
-ine	-ina
-ing	hal
-ish	-an
-ism	-isme
-ite	-it
-ity	-itas
-ive	-if
-ization	-isasi
-ize	buat
-land	bangsa
-less	nir-
-logical	-logis
-logy	-logi
-morphism	-morfisme
-naut	-not
-ness	ke- -an
-nomy	-nomi
-ol	-ol
-ology	-ologi
-pedia	-pedia
-phobia	-fobia
-scope	-skop
-teen	belas
-th	ke-
-tion	-si
-ure	-ur
-yne	-una
1 Chronicles	1 Tawarikh
1 Corinthians	1 Korintus
1 Kings	1 Raja-raja
1 Maccabees	1 Makabe
1 Thessalonians	1 Tesalonika
1 Timothy	1 Timotius
10th	ke-10
1st	ke-1
2 Chronicles	2 Tawarikh
2 Kings	2 Raja-raja
2 Maccabees	2 Makabe
2 Thessalonians	2 Tesalonika
2 Timothy	2 Timotius
24-hour clock	sistem 24 jam
2CV	bebek
2nd	ke-2
3rd	ke-3
4th	ke-4
5W1H	adiksimba
5th	ke-5
6th	ke-6
7th	ke-7
8th	ke-8
9th	ke-9
A-flat	as
A-level	bak
ABC	abjad
AC adapter	transformator
AD	M
ADHD	GPPH
AIDS	AIDS
AKA	alias
APEC	APEC | Kerjasama Ekonomi Asia Pasifik
ARFID	ARFID
ASEAN	ASEAN | Perbara
ASMR	ASMR
ATM	ATM
Aachen	Aachen
Aarhus	Århus
Aaron	Harun
Abbas	Abbas
Abdul	Abdul
Abdullah	Abdullah
Abel	Habil
Abidjan	Abidjan
Abinomn	bahasa Abinomn
Abkhaz	bahasa abkhaz
Abkhazia	Abkhazia
Abraham	Abraham | Ibrahim
Abram	Abraham
Abu Dhabi	Abu Dhabi
Accra	Accra
Aceh	Aceh
Acehnese	bahasa Aceh
Achilles	Achilles
Achilles heel	tendon achilles
Achilles tendon	tendon achilles
Acre	Acre
Acts of the Apostles	Kisah Para Rasul
Adam	Adam
Adam and Eve	Adam dan Hawa
Adam's apple	jakun
Adar	Adar
Addis Ababa	Addis Ababa
Adelaide	Adelaide
Adelie penguin	Penguin Adélie
Aden	Aden
Aditi	Aditi
Adonis	Adonis
Adriatic Sea	Laut Adriatik | laut Adriatik
Advent	adven
Adventism	Adventisme
Aegean Sea	Laut Aegea
Aeneid	Aeneid
Aesacus	Aisakos
Aeschines	Aiskhines
Aesop	Aesop
Afghan	Afghanistan
Afghanistan	Afghanistan | Afganistan
Africa	Afrika
African	Afrika
Afrikaans	Afrikans | Afrika
Afro-Eurasia	Afro-Eurasia
Age of Enlightenment	Abad Pencerahan
Agni	Agni
Agnus Dei	Agnus Dei
Ahasuerus	Ahasyweros
Ahmed	Ahmad
Aigio	Aigion
Ain	Ain
Ainu	ainu
Airavata	Airawata
Aisne	Aisne
Ajaccio	Ajaccio
Ajax	Aias
Alaska	Alaska
Alaskan Malamute	malamut Alaska
Albania	Albania
Albanian	Albania
Alberta	Alberta
Albi	Albi
Aldebaran	Aldebaran
Alectryon	Alektrion
Aleppo	Aleppo
Alexander	Iskandar | Iskander
Alexandria	Aleksandria | Iskandariyah
Algeria	Aljazair
Algerian	Aljazair
Algiers	Aljir | Aljazair
Allah	Allah
Allahu akbar	Allahu Akbar
Allat	Latta
Allen key	kunci L
Allied	bergabung
Allier	Allier
Allies	Blok Sekutu | Sekutu
Alpes-Maritimes	Alpes-Maritimes
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alpha Centauri	Alpha Centauri
Alps	Alpen
Alsace	Alsace
Alsatian	bahasa elsass
Altair	Altair
Alzheimer's disease	penyakit Alzheimer
Amazon	Amazon
Ambon	Ambon
Ambonese Malay	bahasa Ambon | bahasa Melayu Ambon
Ameland	Ameland
American	orang Amerika
American Dream	impian Amerika
American English	bahasa Inggris Amerika Serikat
American Samoa	Samoa Amerika
American bison	bison amerika
American black bear	beruang hitam amerika
American football	sepak bola amerika
American robin	musim semi
Americanisation	amerikanisasi
Americas	Amerika | benua Amerika
Amhara	bahasa Amharik
Amharic	bahasa Amharik
Amman	Amman
Amsterdam	Amsterdam
Amun	Amun
Anabaptism	Anabaptisme
Anabaptist	pembaptis
Ananias	Ananias
Anatolia	Anatolia
Ancient Greece	Yunani Kuno
Ancient Rome	Romawi Kuno
Andalusia	Andalusia
Andaman Islands	Kepulauan Andaman
Andaman Sea	Laut Andaman
Andes	Andes
Andorra	Andorra
Andorra la Vella	Andorra la Vella
Andrew	Andreas
Android	Android
Andromache	Andromakhe
Andromeda	Andromeda
Angada	Anggada
Angkor Wat	Angkor Wat
Anglican Communion	Komuni Anglikan
Anglicanism	Anglikanisme
Anglo-	Inggris
Anglo-Egyptian Sudan	Sudan Inggris-Mesir
Angola	Angola
Anguilla	Anguilla
Anhui	Anhui
Ankara	Ankara
Annas	Hanas
Anno Domini	Tahun Masehi | Tahun Miladiyah
Anno Hegirae	tahun hijriah
Antarctic	Antartika
Antarctic Circle	Lingkar Antartik
Antarctic Peninsula	Semenanjung Antartika
Antarctica	Antartika | Antarktika
Antes	sebelum
Anthropocene	antroposen
Antichrist	anti-Kristus
Antigua and Barbuda	Antigua dan Barbuda
Antilles	Antilles
Antioch	Antiokhia
Antwerp	Antwerpen
Apgar score	nilai Apgar
Aphrodite	Aphrodite
Apocalypse	apokalips
Apocrypha	apokrifa
Apollinarism	Apolinariansme
Apollo	Apollo
Apostle	rasul
Apostles' Creed	Kredo Para Rasul | Pengakuan Iman Rasuli | Syahadat Para Rasul
Appalachia	Appalachia
April	april | April
April Fools' Day	April Mop
Apus	Apus
Aqaba	Aqaba
Aquarius	Akuarius | Aquarius
Aquila	Aquila
Arab	arabik | bahasa Arab
Arab Republic of Egypt	Republik Arab Mesir
Arab Spring	Musim Semi Arab
Arab World	dunia Arab
Arabia	Arab | Jazirah Arab
Arabian	bahasa arab
Arabian Peninsula	Jazirah Arab
Arabian Sea	Laut Arab
Arabian jasmine	melati putih
Arabic	bahasa arab | arab | abjad arab | huruf arab | Arab
Arabisation	arabisasi
Arafura Sea	Laut Arafura
Aragonese	bahasa Aragon
Aral Sea	Laut Aral
Aram	Aram
Aramaic	bahasa aram
Archaean	arkais
Archimedes	Archimedes
Arctic	Arktik | Arktika
Arctic Ocean	Samudra Arktik
Ardennes	Ardennes
Ardèche	Ardèche
Ares	Ares
Argentina	Argentina
Argentine	Argentina
Argentine Republic	Republik Argentina
Ariadne	Ariadne
Arianism	Arianisme
Aries	Aries
Aristophanes	Aristophanes
Aristotelianism	aristotelianisme
Aristotle	Aristoteles
Ariège	Ariège
Arjuna	Arjuna
Ark of the Covenant	Tabut Perjanjian
Arkansas	Arkansas
